phyto_name,lake,stationid,device,mesh_um,integrated_y_n,min_depth_m,max_depth_m,date_dd_mm_yyyy,cell_colony_density_ind_l,biovol_um3_ml,biomass_ug_l,genus,MFG,CSR
Cryptomonas marssonii,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Cryptomonas,2d-Crypto,C
Cyclotella,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Cyclotella,7a-SmallCent,C
Cymbella,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Cymbella,6b1-LColPenn,R
Dinobryon sociale,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Dinobryon,1a-LargeChry,SR
Dolichospermum flos-aquae,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Dolichospermum,5e-Nostocales,S
Elakatothrix gelatinosa,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Elakatothrix,11b-GelaChlor,R
Eunotia,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Eunotia,6b1-LColPenn,R
Fragilaria crotonensis,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Fragilaria,6b1-LColPenn,R
Gomphonema truncatum,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Gomphonema,7b-SmallPenn,R
Gymnodinium,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Gymnodinium,2b-SmallDino,R
Gymnodinium (big),Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Gymnodinium,2b-SmallDino,SC
Kirchneriella obesa,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Kirchneriella,11b-GelaChlor,R
Merismopedia,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,40,324,0.324,Merismopedia,5d-SmallChroo,R
Monoraphidium contortum,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Monoraphidium,9b-SmallChlor,R
Monoraphidium minutum,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Monoraphidium,9b-SmallChlor,R
Oocystis,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Oocystis,9b-SmallChlor,R
Pennate diatoms,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,698.13,259.4416006,0.259441601,Pennate,7b-SmallPenn,CR
Pennate diatoms,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (fat),Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (large),Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (long),Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (short fat),Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,2094.39,745.7359821,0.745735982,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,2792.52,1434.642297,1.434642297,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (curved),Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,698.13,134.2678523,0.134267852,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (dots),Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (long),Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pyramimonadales,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Pyramimonadales,3a-UnicPhyto,C
Radiococcus polycoccus,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Radiococcus,11a-NakeChlor,CR
Raphidocelis,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Raphidocelis,11b-GelaChlor,S
Rhizosolenia,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Rhizosolenia,6a2-LUniCent,CR
Rhodomonas minuta,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Rhodomonas,2d-Crypto,C
Staurastrum,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Staurastrum,9a-SmallConj,CR
Staurastrum avicula var. lunatum,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Staurastrum,8a-LargeCoCh,S
Tabellaria,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,698.13,725.9420286,0.725942029,Tabellaria,6b1-LColPenn,CR
Tabellaria fenestrata,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Tabellaria,6b1-LColPenn,R
Tabellaria flocculosa,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,320,1971.764938,1.971764938,Tabellaria,7b-SmallPenn,CR
Trachelomonas volvocina,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Trachelomonas,2c-SmallEugl,CR
Ulnaria ulna,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,0,0,0,Ulnaria,6b1-LColPenn,R
Woronichinia,Feeagh,AWQMS,tube,NA,y,0,6,12/03/2018,120,15596.37085,15.59637085,Woronichinia,5d-SmallChroo,R
Amphora,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Amphora,6b2-LUniPenn,CR
Asterionella formosa,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Asterionella,6b1-LColPenn,R
Aulacoseira alpigena,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,9773.82,8654.896765,8.654896765,Aulacoseira,6a1-LColCent,CR
Aulacoseira distans,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,2792.52,5360.768323,5.360768323,Aulacoseira,7a-SmallCent,R
Aulacoseira subarctica,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,42585.93,32336.02556,32.33602556,Aulacoseira,7a-SmallCent,R
Botryococcus braunii,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Botryococcus,11a-NakeChlor,CR
Centric Diatom Large,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Centric,7a-SmallCent,C
Centric Diatom Small,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,2094.39,375.161615,0.375161615,Centric,7a-SmallCent,C
Centric Diatoms,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,2792.52,1949.077761,1.949077761,Centric,7a-SmallCent,C
Ceratium,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Ceratium,1b-LargeDino,S
Chlamydomonas,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,16755.12,4144.29139,4.14429139,Chlamydomonas,3a-UnicPhyto,C
Chromulina,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,698.13,66.28857331,0.066288573,Chromulina,2a-SmallChry1,C
Chroomonas,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Chroomonas,2d-Crypto,CR
Closterium,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Closterium,8a-LargeCoCh,CR
Closterium  kuetzingii,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Closterium,8a-LargeCoCh,S
Closterium acutum,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,4886.91,1005.985455,1.005985455,Closterium,8a-LargeCoCh,R
Closterium gracile,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Closterium,8a-LargeCoCh,R
Coenococcus,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Coenococcus,1a-LargeChry,SR
Coenococcus planctonicus,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Coenococcus,1a-LargeChry,SR
Cosmarium,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Cosmarium,8a-LargeCoCh,R
Cryptomonas,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Cryptomonas,2d-Crypto,R
Cryptomonas marssonii,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Cryptomonas,2d-Crypto,C
Cyclotella,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,3490.65,9414.018136,9.414018136,Cyclotella,7a-SmallCent,C
Cymbella,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Cymbella,6b1-LColPenn,R
Dinobryon sociale,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Dinobryon,1a-LargeChry,SR
Dolichospermum flos-aquae,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,60737.31,9138.30729,9.13830729,Dolichospermum,5e-Nostocales,S
Elakatothrix gelatinosa,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Elakatothrix,11b-GelaChlor,R
Eunotia,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Eunotia,6b1-LColPenn,R
Fragilaria crotonensis,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,2792.52,601.8895878,0.601889588,Fragilaria,6b1-LColPenn,R
Gomphonema truncatum,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Gomphonema,7b-SmallPenn,R
Gymnodinium,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Gymnodinium,2b-SmallDino,R
Gymnodinium (big),Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Gymnodinium,2b-SmallDino,SC
Kirchneriella obesa,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Kirchneriella,11b-GelaChlor,R
Merismopedia,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Merismopedia,5d-SmallChroo,R
Monoraphidium contortum,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Monoraphidium,9b-SmallChlor,R
Monoraphidium minutum,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,698.13,128.2865962,0.128286596,Monoraphidium,9b-SmallChlor,R
Oocystis,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,698.13,433.0939563,0.433093956,Oocystis,9b-SmallChlor,R
Pennate diatoms,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,6981.3,2594.416006,2.594416006,Pennate,7b-SmallPenn,CR
Pennate diatoms (fat),Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (large),Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,698.13,552.4163064,0.552416306,Pennate,7b-SmallPenn,CR
Pennate diatoms (long),Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (short fat),Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,2094.39,745.7359821,0.745735982,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (curved),Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,2792.52,537.071409,0.537071409,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (dots),Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,1396.26,537.3322723,0.537332272,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (long),Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pyramimonadales,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,2094.39,2719.677552,2.719677552,Pyramimonadales,3a-UnicPhyto,C
Radiococcus polycoccus,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,698.13,1496.492851,1.496492851,Radiococcus,11a-NakeChlor,CR
Raphidocelis,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Raphidocelis,11b-GelaChlor,S
Rhizosolenia,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Rhizosolenia,6a2-LUniCent,CR
Rhodomonas minuta,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,25132.68,3228.148265,3.228148265,Rhodomonas,2d-Crypto,C
Staurastrum,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Staurastrum,9a-SmallConj,CR
Staurastrum avicula var. lunatum,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Staurastrum,8a-LargeCoCh,S
Tabellaria,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Tabellaria,6b1-LColPenn,CR
Tabellaria fenestrata,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Tabellaria,6b1-LColPenn,R
Tabellaria flocculosa,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,698.13,4301.713301,4.301713301,Tabellaria,7b-SmallPenn,CR
Trachelomonas volvocina,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Trachelomonas,2c-SmallEugl,CR
Ulnaria ulna,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,698.13,3316.861227,3.316861227,Ulnaria,6b1-LColPenn,R
Woronichinia,Feeagh,AWQMS,tube,NA,y,0,6,03/04/2018,0,0,0,Woronichinia,5d-SmallChroo,R
Amphora,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Amphora,6b2-LUniPenn,CR
Asterionella formosa,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,16056.99,8296.095641,8.296095641,Asterionella,6b1-LColPenn,R
Aulacoseira alpigena,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,15358.86,13600.55206,13.60055206,Aulacoseira,6a1-LColCent,CR
Aulacoseira distans,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Aulacoseira,7a-SmallCent,R
Aulacoseira subarctica,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,27925.2,21203.95119,21.20395119,Aulacoseira,7a-SmallCent,R
Botryococcus braunii,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Botryococcus,11a-NakeChlor,CR
Centric Diatom Large,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,698.13,2386.611074,2.386611074,Centric,7a-SmallCent,C
Centric Diatom Small,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,1396.26,250.1077434,0.250107743,Centric,7a-SmallCent,C
Centric Diatoms,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,3490.65,2436.347202,2.436347202,Centric,7a-SmallCent,C
Ceratium,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Ceratium,1b-LargeDino,S
Chlamydomonas,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,11170.08,2762.860927,2.762860927,Chlamydomonas,3a-UnicPhyto,C
Chromulina,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Chromulina,2a-SmallChry1,C
Chroomonas,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Chroomonas,2d-Crypto,CR
Closterium,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Closterium,8a-LargeCoCh,CR
Closterium  kuetzingii,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Closterium,8a-LargeCoCh,S
Closterium acutum,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,9773.82,2011.970909,2.011970909,Closterium,8a-LargeCoCh,R
Closterium gracile,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Closterium,8a-LargeCoCh,R
Coenococcus,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Coenococcus,1a-LargeChry,SR
Coenococcus planctonicus,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Coenococcus,1a-LargeChry,SR
Cosmarium,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Cosmarium,8a-LargeCoCh,R
Cryptomonas,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Cryptomonas,2d-Crypto,R
Cryptomonas marssonii,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Cryptomonas,2d-Crypto,C
Cyclotella,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,1396.26,3765.607254,3.765607254,Cyclotella,7a-SmallCent,C
Cymbella,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Cymbella,6b1-LColPenn,R
Dinobryon sociale,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Dinobryon,1a-LargeChry,SR
Dolichospermum flos-aquae,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Dolichospermum,5e-Nostocales,S
Elakatothrix gelatinosa,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Elakatothrix,11b-GelaChlor,R
Eunotia,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Eunotia,6b1-LColPenn,R
Fragilaria crotonensis,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,3490.65,752.3619847,0.752361985,Fragilaria,6b1-LColPenn,R
Gomphonema truncatum,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Gomphonema,7b-SmallPenn,R
Gymnodinium,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,2792.52,2803.263241,2.803263241,Gymnodinium,2b-SmallDino,R
Gymnodinium (big),Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Gymnodinium,2b-SmallDino,SC
Kirchneriella obesa,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Kirchneriella,11b-GelaChlor,R
Merismopedia,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Merismopedia,5d-SmallChroo,R
Monoraphidium contortum,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,698.13,51.02533591,0.051025336,Monoraphidium,9b-SmallChlor,R
Monoraphidium minutum,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,2094.39,384.8597886,0.384859789,Monoraphidium,9b-SmallChlor,R
Oocystis,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Oocystis,9b-SmallChlor,R
Pennate diatoms,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,11170.08,4151.06561,4.15106561,Pennate,7b-SmallPenn,CR
Pennate diatoms (fat),Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (large),Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (long),Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,698.13,4504.014601,4.504014601,Pennate,7b-SmallPenn,CR
Pennate diatoms (short fat),Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,2792.52,994.3146428,0.994314643,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,6283.17,3227.945167,3.227945167,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (curved),Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,2792.52,537.071409,0.537071409,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (dots),Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,5585.04,2149.329089,2.149329089,Pennate,7b-SmallPenn,CR
Pennate diatoms cylindrical (long),Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pyramimonadales,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Pyramimonadales,3a-UnicPhyto,C
Radiococcus polycoccus,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Radiococcus,11a-NakeChlor,CR
Raphidocelis,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Raphidocelis,11b-GelaChlor,S
Rhizosolenia,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Rhizosolenia,6a2-LUniCent,CR
Rhodomonas minuta,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,23038.29,2959.135909,2.959135909,Rhodomonas,2d-Crypto,C
Staurastrum,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Staurastrum,9a-SmallConj,CR
Staurastrum avicula var. lunatum,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Staurastrum,8a-LargeCoCh,S
Tabellaria,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Tabellaria,6b1-LColPenn,CR
Tabellaria fenestrata,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,2792.52,5091.968434,5.091968434,Tabellaria,6b1-LColPenn,R
Tabellaria flocculosa,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,6283.17,38715.41971,38.71541971,Tabellaria,7b-SmallPenn,CR
Trachelomonas volvocina,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Trachelomonas,2c-SmallEugl,CR
Ulnaria ulna,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,698.13,3316.861227,3.316861227,Ulnaria,6b1-LColPenn,R
Woronichinia,Feeagh,AWQMS,tube,NA,y,0,6,17/04/2018,0,0,0,Woronichinia,5d-SmallChroo,R
Amphora,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Amphora,6b2-LUniPenn,CR
Asterionella formosa,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,25830.81,13345.89299,13.34589299,Asterionella,6b1-LColPenn,R
Aulacoseira alpigena,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,9075.69,8036.689853,8.036689853,Aulacoseira,6a1-LColCent,CR
Aulacoseira distans,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,698.13,1340.192081,1.340192081,Aulacoseira,7a-SmallCent,R
Aulacoseira subarctica,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,27227.07,20673.85241,20.67385241,Aulacoseira,7a-SmallCent,R
Botryococcus braunii,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Botryococcus,11a-NakeChlor,CR
Centric Diatom Large,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,698.13,2386.611074,2.386611074,Centric,7a-SmallCent,C
Centric Diatom Small,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Centric,7a-SmallCent,C
Centric Diatoms,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,4188.78,2923.616642,2.923616642,Centric,7a-SmallCent,C
Ceratium,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Ceratium,1b-LargeDino,S
Chlamydomonas,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,13962.6,3453.576159,3.453576159,Chlamydomonas,3a-UnicPhyto,C
Chromulina,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Chromulina,2a-SmallChry1,C
Chroomonas,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Chroomonas,2d-Crypto,CR
Closterium,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Closterium,8a-LargeCoCh,CR
Closterium  kuetzingii,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Closterium,8a-LargeCoCh,S
Closterium acutum,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,16755.12,3449.092988,3.449092988,Closterium,8a-LargeCoCh,R
Closterium gracile,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Closterium,8a-LargeCoCh,R
Coenococcus,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,2094.39,2484.628366,2.484628366,Coenococcus,1a-LargeChry,SR
Coenococcus planctonicus,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Coenococcus,1a-LargeChry,SR
Cosmarium,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Cosmarium,8a-LargeCoCh,R
Cryptomonas,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Cryptomonas,2d-Crypto,R
Cryptomonas marssonii,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Cryptomonas,2d-Crypto,C
Cyclotella,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,698.13,1882.803627,1.882803627,Cyclotella,7a-SmallCent,C
Cymbella,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Cymbella,6b1-LColPenn,R
Dinobryon sociale,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Dinobryon,1a-LargeChry,SR
Dolichospermum flos-aquae,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Dolichospermum,5e-Nostocales,S
Elakatothrix gelatinosa,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Elakatothrix,11b-GelaChlor,R
Eunotia,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Eunotia,6b1-LColPenn,R
Fragilaria crotonensis,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,2792.52,601.8895878,0.601889588,Fragilaria,6b1-LColPenn,R
Gomphonema truncatum,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Gomphonema,7b-SmallPenn,R
Gymnodinium,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Gymnodinium,2b-SmallDino,R
Gymnodinium (big),Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Gymnodinium,2b-SmallDino,SC
Kirchneriella obesa,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Kirchneriella,11b-GelaChlor,R
Merismopedia,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Merismopedia,5d-SmallChroo,R
Monoraphidium contortum,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,1396.26,102.0506718,0.102050672,Monoraphidium,9b-SmallChlor,R
Monoraphidium minutum,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,1396.26,256.5731924,0.256573192,Monoraphidium,9b-SmallChlor,R
Oocystis,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Oocystis,9b-SmallChlor,R
Pennate diatoms,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,7679.43,2853.857607,2.853857607,Pennate,7b-SmallPenn,CR
Pennate diatoms,Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (fat),Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Pennate,7b-SmallPenn,CR
Pennate diatoms (large),Feeagh,AWQMS,tube,NA,y,0,6,01/05/2018,0,0,0,Pennate,7b-SmallPenn,CR
